index,ra,dec,mag
168,5.627413,21.142549,2.97
169,9.764188,23.774255,2.97
170,18.096803,-30.424091,2.98
171,13.315359,-23.171512,2.99
172,17.793078,-40.126997,2.99
173,19.090169,13.863478,2.99
174,2.159058,34.987297,3
175,11.161062,44.498487,3
176,15.345483,71.834016,3
177,16.864509,-38.04738,3
178,21.898808,-37.364852,3
179,3.715416,47.787551,3.01
180,6.338553,-30.063367,3.02
181,7.050409,-23.833291,3.02
182,12.168746,-22.619766,3.02
183,5.032815,43.823308,3.03
184,12.771346,-68.108119,3.04
185,14.534636,38.308253,3.04
186,19.512023,27.959681,3.05
187,20.350187,-14.781367,3.05
188,6.732202,25.131124,3.06
189,10.372155,41.499516,3.06
190,19.209225,67.661541,3.07
191,18.293793,-36.761686,3.1
192,8.92323,5.945563,3.11
193,10.827079,-16.193648,3.11
194,11.596363,-63.019841,3.11
195,20.626116,-47.291502,3.11
196,5.849329,-35.768309,3.12
197,8.986828,48.041826,3.12
198,16.977006,-55.990141,3.12
199,17.250531,24.839204,3.12
200,14.986025,-42.104194,3.13
201,9.350925,34.392562,3.14
202,9.520371,-57.034377,3.16
203,17.250788,36.809162,3.16
204,6.629353,-43.195934,3.17
205,9.547715,51.6773,3.17
206,17.146448,65.714683,3.17
207,18.76094,-26.990778,3.17
208,5.10858,41.234474,3.18
209,14.708492,-64.975138,3.18
210,4.830669,6.961276,3.19
211,5.091018,-22.371032,3.19
212,16.961139,9.375033,3.19
213,17.830965,-37.043304,3.19
214,21.215607,30.226916,3.21
215,23.65582,77.632276,3.21
216,15.356201,-40.647518,3.22
217,16.305358,-4.692511,3.23
218,18.355167,-2.898825,3.23
219,21.477662,70.560716,3.23
220,6.803194,-61.941391,3.24
221,20.188413,-0.821461,3.24
222,7.487179,-43.301432,3.25
223,14.106193,-26.682361,3.25
224,15.067839,-25.281965,3.25
225,18.982395,32.689557,3.25
226,3.787295,-74.238962,3.26
227,0.655462,30.861024,3.27
228,17.366827,-24.999545,3.27
229,22.910837,-15.82082,3.27
230,5.215528,-16.205468,3.29
231,10.228961,-70.037903,3.29
232,15.415494,58.966065,3.29
233,4.566598,-55.044975,3.3
234,10.533743,-61.685332,3.3
235,6.247961,22.506799,3.31
236,17.423239,-56.377727,3.31
237,1.101407,-46.718414,3.32
238,3.08627,38.840274,3.32
239,12.257086,57.032617,3.32
240,17.202552,-43.239189,3.32
241,17.983775,-9.773632,3.32
242,19.11567,-27.670423,3.32
243,4.240404,-62.473858,3.33
244,11.237335,15.42957,3.33
245,7.821571,-24.859786,3.34
246,1.906584,63.670101,3.35
247,5.407949,-2.397146,3.35
248,6.754824,12.895591,3.35
249,8.504431,60.718169,3.35
250,19.424972,3.114775,3.36
251,15.378021,-44.689622,3.37
252,8.779587,6.418809,3.38
253,13.57822,-0.59582,3.38
254,5.585633,9.934158,3.39
255,10.28472,-61.332304,3.39
256,12.926725,3.39747,3.39
257,22.180908,58.201261,3.39
258,4.477705,15.870883,3.4
259,17.172783,-15.726921,3.4
260,1.472759,-43.318234,3.41
261,4.011338,12.490347,3.41
262,13.825078,-41.687709,3.41
263,15.20476,-52.099247,3.41
264,20.754811,61.838782,3.41
265,22.691033,10.831364,3.41
266,1.884696,29.578829,3.42
267,16.002036,-38.396706,3.42
268,17.774319,27.720676,3.42
269,20.749314,-66.203212,3.42
270,9.182804,-58.966896,3.43
271,10.278171,23.417311,3.43
272,19.10415,-4.882554,3.43
273,10.284952,42.914365,3.45
274,0.81826,57.815187,3.46
275,1.143164,-10.182264,3.46
276,7.946313,-52.98236,3.46
277,15.258376,33.314833,3.46
278,2.721678,3.235818,3.47
279,13.826943,-42.473732,3.47
280,10.122209,16.762664,3.48
281,16.714933,38.922254,3.48
282,1.734479,-15.93748,3.49
283,7.028652,-27.93483,3.49
284,11.307983,33.094306,3.49
285,15.032436,40.390566,3.49
286,18.449561,-45.968459,3.49
287,22.809239,-51.316864,3.49
288,6.830683,-32.508478,3.5
289,7.335383,21.98232,3.5
290,22.82802,66.200408,3.5
291,19.979285,19.492148,3.51
292,22.833385,24.601579,3.51
293,3.720806,-9.763395,3.52
294,9.685843,9.892308,3.52
295,9.947708,-54.56779,3.52
296,18.834665,33.362667,3.52
297,18.962167,-21.106654,3.52
298,22.169996,6.197865,3.52
299,12.694171,-1.449235,3.52
300,4.476943,19.180431,3.53
301,8.275256,9.185545,3.53
302,11.550038,-31.857625,3.54
303,15.827002,-3.430208,3.54
304,17.626445,-15.398557,3.54
305,4.298237,-33.798348,3.55
306,5.782595,-14.82195,3.55
307,14.323396,-46.058093,3.55
308,18.350736,72.732843,3.55
309,20.145157,-66.182068,3.55
310,0.323799,-8.823921,3.56
311,2.275154,-51.512165,3.56
312,11.322347,-14.778541,3.56
313,16.872263,-38.017536,3.56
314,7.740793,24.397993,3.57
315,9.060427,47.156525,3.57
316,14.5305,30.371437,3.57
317,15.36344,-36.261376,3.57
318,7.30155,16.540383,3.58
319,20.300904,-12.544852,3.58
320,1.633205,48.628213,3.59
321,5.293442,-6.844409,3.59
322,5.741057,-22.448382,3.59
323,11.844922,1.764718,3.59
324,12.356031,-60.401147,3.59
325,1.40039,-8.183257,3.6
326,6.879816,33.961254,3.6
327,8.671554,-52.921887,3.6
328,9.511674,-40.466769,3.6
329,15.61707,-28.135079,3.6
330,17.518318,-60.683848,3.6
331,2.833063,27.260507,3.61
332,3.413554,9.02887,3.61
333,10.176467,-12.354083,3.61
334,13.037759,-71.548855,3.61
335,17.762221,-64.723871,3.61
336,1.524725,15.345823,3.62
337,3.819373,24.053415,3.62
338,7.754249,-37.968584,3.62
339,16.909731,-42.361313,3.62
340,23.032017,42.325979,3.62
341,11.760141,-66.728763,3.63
342,20.625816,14.595087,3.64
343,4.329889,15.627642,3.65
344,9.525453,63.061861,3.65
345,15.769793,15.421826,3.65
346,18.11052,-50.091477,3.65
347,22.480531,-0.019972,3.65
348,15.463818,29.105703,3.66
349,15.64427,-29.777754,3.66
350,14.073165,64.37585,3.67
351,20.913498,-58.454155,3.67
352,4.853434,5.605104,3.68
353,8.726539,-33.186385,3.68
354,19.789795,18.534286,3.68
355,23.157443,-21.17241,3.68
356,0.616188,53.896909,3.69
357,1.932564,-51.608896,3.69
358,5.041301,41.075837,3.69
359,9.754117,-62.507903,3.69
360,11.767515,47.779406,3.69
361,21.668181,-16.662308,3.69
362,3.325278,-21.757864,3.7
363,17.962744,29.24788,3.7
364,23.286094,3.282289,3.7
365,4.904193,2.440672,3.71
366,5.940082,-14.1677,3.71
367,7.870288,-40.575786,3.71
368,15.846935,4.47773,3.71
369,18.122496,9.563847,3.71
370,19.921887,6.406763,3.71
371,3.548848,-9.458262,3.72
372,3.747927,24.113339,3.72
373,5.992111,54.284656,3.72
374,21.082184,43.927852,3.72
375,3.45282,9.73268,3.73
376,14.770812,1.892885,3.73
377,17.892134,56.872643,3.73
378,21.691253,-77.390046,3.73
379,22.87691,-7.579599,3.73
380,1.857676,-10.335038,3.74
381,16.365338,19.15313,3.74
382,21.246517,38.045317,3.74
383,9.069248,-47.097737,3.75
384,17.798211,2.707276,3.75
385,5.560421,-62.489825,3.76
386,5.855357,-20.879089,3.76
387,6.480297,-7.033062,3.76
388,19.07805,-21.741496,3.76
389,19.495098,51.729779,3.76
390,22.521515,50.282491,3.76
391,2.844945,55.895496,3.77
392,3.753232,42.578549,3.77
393,4.382247,17.542514,3.77
394,5.645769,-2.600069,3.77
395,8.428951,-66.13689,3.77
396,8.677103,-46.648744,3.77
397,16.82976,-59.041378,3.77
398,20.660635,15.912072,3.77
399,21.444452,-22.411332,3.77
400,22.116847,25.345112,3.77
401,7.145788,-70.498932,3.78
402,7.428779,27.79808,3.78
403,9.849867,59.038735,3.78
404,10.891559,-58.853171,3.78
405,14.68582,13.7283,3.78
406,20.794598,-9.495776,3.78
407,3.158258,44.857544,3.79
408,10.888526,34.214871,3.79
409,3.201249,-28.987618,3.8
410,7.647186,-26.803836,3.8
411,15.580041,10.538867,3.8
412,19.28504,53.368459,3.8
413,20.227196,46.741329,3.8
414,4.592512,-30.562341,3.81
415,10.464649,-58.739403,3.81
416,15.712381,26.295637,3.81
417,23.626056,46.458152,3.81
418,2.034117,2.763759,3.82
419,9.314069,36.802597,3.82
420,11.523407,69.331076,3.82
421,16.515229,1.983923,3.82
422,17.657747,46.006332,3.82
423,10.434842,-16.83629,3.83
424,13.971186,-42.100753,3.83
425,14.797701,-79.044751,3.83
426,3.736593,-64.806903,3.84
427,3.738648,32.288248,3.84
428,4.476248,15.962181,3.84
429,8.917457,-60.644609,3.84
430,10.546853,9.306586,3.84
431,10.621717,-48.22562,3.84
432,12.541134,-72.132988,3.84
433,18.125708,28.762488,3.84
434,18.229392,-21.058834,3.84
435,19.80285,70.26793,3.84
436,4.233363,-42.294368,3.85
437,5.788079,-51.066514,3.85
438,6.368564,-33.4364,3.85
439,10.245607,-42.121942,3.85
440,12.558058,69.788238,3.85
441,12.628394,-48.541304,3.85
442,15.940882,15.661617,3.85
443,18.394967,21.769752,3.85
444,18.586785,-8.244073,3.85
445,0.945885,38.499345,3.86
446,4.63634,-14.30402,3.86
447,5.520209,-35.470519,3.86
448,16.257297,-63.685682,3.86
449,16.557609,-78.897148,3.86
450,17.93755,37.250539,3.86
451,22.360938,-1.387331,3.86
452,3.763779,24.367748,3.87
453,8.767124,-46.041527,3.87
454,13.977987,-44.803584,3.87
455,14.717673,-5.658207,3.87
456,15.948077,-29.214073,3.87
457,19.874547,1.005661,3.87
458,0.156836,-45.747426,3.88
459,1.89217,19.293852,3.88
460,9.879398,26.006951,3.88
461,15.198918,-48.737819,3.88
462,23.17264,-45.246711,3.88
463,2.940458,-8.898144,3.89
464,6.902209,-24.184211,3.89
465,9.239405,2.31428,3.89
466,12.331766,-0.666803,3.89
467,19.938438,35.083424,3.89
468,9.664267,-1.14281,3.9
